ano,codigo_ibge,municipio,populacao_total,prestador,IN023,IN015,IN049,FN033
2023,5100102,Acorizal,5309,Autarquia / Servico Municipal (SANEMAT ou similar),67.5,8.7,42.6,73834.5
2023,5100201,Água Boa,26679,Autarquia / Servico Municipal (SANEMAT ou similar),85.6,34.0,28.1,596288.59
2023,5100250,Alta Floresta,52105,Autarquia / Servico Municipal (SANEMAT ou similar),83.7,21.2,40.2,1188355.81
2023,5100300,Alto Araguaia,19714,Autarquia / Servico Municipal (SANEMAT ou similar),88.4,24.1,60.3,193299.24
2023,5100359,Alto Boa Vista,7092,Autarquia / Servico Municipal (SANEMAT ou similar),66.7,21.3,49.6,232182.14
2023,5100409,Alto Garças,12323,Autarquia / Servico Municipal (SANEMAT ou similar),70.9,9.3,53.4,445505.39
2023,5100508,Alto Paraguai,11587,Autarquia / Servico Municipal (SANEMAT ou similar),75.5,27.0,38.2,88732.91
2023,5100607,Alto Taquari,11413,Autarquia / Servico Municipal (SANEMAT ou similar),81.4,16.2,57.5,432847.44
2023,5100805,Apiacás,10431,Autarquia / Servico Municipal (SANEMAT ou similar),76.2,24.5,43.9,6989.92
2023,5101001,Araguaiana,3064,Autarquia / Servico Municipal (SANEMAT ou similar),72.1,33.7,36.9,46902.87
2023,5101209,Araguainha,909,Autarquia / Servico Municipal (SANEMAT ou similar),71.6,0,48.3,18089.47
2023,5101258,Araputanga,17078,Autarquia / Servico Municipal (SANEMAT ou similar),73.0,16.6,40.3,904984.69
2023,5101308,Arenápolis,9399,Autarquia / Servico Municipal (SANEMAT ou similar),76.4,19.8,44.4,377687.15
2023,5101407,Aripuanã,23067,Autarquia / Servico Municipal (SANEMAT ou similar),67.0,22.5,36.1,952323.45
2023,5101605,Barão de Melgaço,8165,Autarquia / Servico Municipal (SANEMAT ou similar),73.2,20.9,41.6,287883.56
2023,5101704,Barra do Bugres,35642,Autarquia / Servico Municipal (SANEMAT ou similar),74.8,10.1,42.6,1392773.01
2023,5101803,Barra do Garças,61702,Autarquia / Servico Municipal (SANEMAT ou similar),84.3,19.6,35.6,2530977.74
2023,5101837,Boa Esperança do Norte,5000,Autarquia / Servico Municipal (SANEMAT ou similar),61.9,7.6,50.6,71747.8
2023,5101852,Bom Jesus do Araguaia,6830,Autarquia / Servico Municipal (SANEMAT ou similar),64.3,20.0,49.4,0
2023,5101902,Brasnorte,20571,Autarquia / Servico Municipal (SANEMAT ou similar),77.4,13.2,39.0,626115.65
2023,5102504,Cáceres,95339,Autarquia / Servico Municipal (SANEMAT ou similar),92.6,57.8,51.4,1064485.5
2023,5102603,Campinápolis,16223,Autarquia / Servico Municipal (SANEMAT ou similar),62.3,0,39.4,0
2023,5102637,Campo Novo do Parecis,36917,Autarquia / Servico Municipal (SANEMAT ou similar),73.3,32.5,47.7,693243.41
2023,5102678,Campo Verde,44033,Autarquia / Servico Municipal (SANEMAT ou similar),88.1,20.2,54.5,0
2023,5102686,Campos de Júlio,7245,Autarquia / Servico Municipal (SANEMAT ou similar),71.4,23.5,58.6,112864.94
2023,5102694,Canabrava do Norte,4711,Autarquia / Servico Municipal (SANEMAT ou similar),68.0,14.1,49.5,93666.25
2023,5102702,Canarana,22101,Autarquia / Servico Municipal (SANEMAT ou similar),80.1,13.0,58.7,205121.43
2023,5102793,Carlinda,10094,Autarquia / Servico Municipal (SANEMAT ou similar),72.5,3.0,48.0,483094.79
2023,5102850,Castanheira,8782,Autarquia / Servico Municipal (SANEMAT ou similar),51.6,8.9,54.0,202722.11
2023,5103007,Chapada dos Guimarães,22521,Autarquia / Servico Municipal (SANEMAT ou similar),65.4,34.2,47.3,179572.89
2023,5103056,Cláudia,12338,Autarquia / Servico Municipal (SANEMAT ou similar),67.5,0,52.0,265724.23
2023,5103106,Cocalinho,5716,Autarquia / Servico Municipal (SANEMAT ou similar),69.3,17.0,48.5,97354.21
2023,5103205,Colíder,33855,Autarquia / Servico Municipal (SANEMAT ou similar),75.6,8.0,56.2,437664.96
2023,5103254,Colniza,41117,Autarquia / Servico Municipal (SANEMAT ou similar),79.3,29.9,49.9,1069509.03
2023,5103304,Comodoro,21249,Autarquia / Servico Municipal (SANEMAT ou similar),92.9,11.6,33.6,387885.86
2023,5103353,Confresa,32076,Autarquia / Servico Municipal (SANEMAT ou similar),73.7,14.3,48.1,1141055.1
2023,5103361,Conquista D'Oeste,4163,Autarquia / Servico Municipal (SANEMAT ou similar),55.1,0.3,48.9,147198.37
2023,5103379,Cotriguaçu,20717,Autarquia / Servico Municipal (SANEMAT ou similar),68.9,23.9,54.2,0
2023,5103403,Cuiabá,623614,Aguas Cuiaba (concessao privada),88.9,85.3,43.5,2883915.67
2023,5103437,Curvelândia,5267,Autarquia / Servico Municipal (SANEMAT ou similar),80.6,18.0,44.7,199863.29
2023,5103452,Denise,9626,Autarquia / Servico Municipal (SANEMAT ou similar),79.3,0,36.2,354021.97
2023,5103502,Diamantino,22311,Autarquia / Servico Municipal (SANEMAT ou similar),67.4,18.3,45.0,512101.61
2023,5103601,Dom Aquino,8087,Autarquia / Servico Municipal (SANEMAT ou similar),82.6,23.3,51.5,94015.68
2023,5103700,Feliz Natal,14847,Autarquia / Servico Municipal (SANEMAT ou similar),74.3,13.2,57.9,515206.75
2023,5103809,Figueirópolis D'Oeste,3411,Autarquia / Servico Municipal (SANEMAT ou similar),72.8,8.2,75,90176.71
2023,5103858,Gaúcha do Norte,7913,Autarquia / Servico Municipal (SANEMAT ou similar),65.6,4.6,43.4,76249.29
2023,5103908,General Carneiro,5726,Autarquia / Servico Municipal (SANEMAT ou similar),82.2,13.4,40.2,274105.83
2023,5103957,Glória D'Oeste,2990,Autarquia / Servico Municipal (SANEMAT ou similar),79.9,9.2,41.4,129075.05
2023,5104104,Guarantã do Norte,36439,Autarquia / Servico Municipal (SANEMAT ou similar),73.5,25.7,29.7,655707.74
2023,5104203,Guiratinga,15740,Autarquia / Servico Municipal (SANEMAT ou similar),71.6,19.5,53.5,449483.13
2023,5104500,Indiavaí,2806,Autarquia / Servico Municipal (SANEMAT ou similar),80.1,4.9,37.2,121955.05
2023,5104526,Ipiranga do Norte,8182,Autarquia / Servico Municipal (SANEMAT ou similar),78.5,34.5,48.2,47210.93
2023,5104542,Itanhangá,7030,Autarquia / Servico Municipal (SANEMAT ou similar),76.7,0,63.7,126691.68
2023,5104559,Itaúba,3609,Autarquia / Servico Municipal (SANEMAT ou similar),62.8,12.3,43.9,123913.05
2023,5104609,Itiquira,13727,Autarquia / Servico Municipal (SANEMAT ou similar),69.1,22.7,42.9,185606.04
2023,5104807,Jaciara,27696,Autarquia / Servico Municipal (SANEMAT ou similar),86.8,29.8,50.9,539512.85
2023,5104906,Jangada,8420,Autarquia / Servico Municipal (SANEMAT ou similar),73.0,12.4,56.6,233769.3
2023,5105002,Jauru,8377,Autarquia / Servico Municipal (SANEMAT ou similar),66.7,0,45.6,23283.75
2023,5105101,Juara,35275,Autarquia / Servico Municipal (SANEMAT ou similar),70.3,20.4,42.8,312762.23
2023,5105150,Juína,41190,Autarquia / Servico Municipal (SANEMAT ou similar),99.4,30.5,37.1,1033631.96
2023,5105176,Juruena,16811,Autarquia / Servico Municipal (SANEMAT ou similar),73.3,26.4,46.2,368021.1
2023,5105200,Juscimeira,11124,Autarquia / Servico Municipal (SANEMAT ou similar),74.6,17.3,25.7,186170.16
2023,5105234,Lambari D'Oeste,6246,Autarquia / Servico Municipal (SANEMAT ou similar),80.9,30.8,51.7,0
2023,5105259,Lucas do Rio Verde,69671,Autarquia / Servico Municipal (SANEMAT ou similar),73.1,28.4,41.2,1284196.21
2023,5105309,Luciara,2036,Autarquia / Servico Municipal (SANEMAT ou similar),74.3,5.7,51.4,98383.32
2023,5105507,Vila Bela da Santíssima Trindade,16412,Autarquia / Servico Municipal (SANEMAT ou similar),80.7,25.7,70.3,1075643.97
2023,5105580,Marcelândia,10107,Autarquia / Servico Municipal (SANEMAT ou similar),71.2,10.2,44.6,464879.6
2023,5105606,Matupá,17017,Autarquia / Servico Municipal (SANEMAT ou similar),81.1,15.7,48.9,0
2023,5105622,Mirassol d'Oeste,28135,Autarquia / Servico Municipal (SANEMAT ou similar),77.7,5.6,39.4,230079.46
2023,5105903,Nobres,15332,Autarquia / Servico Municipal (SANEMAT ou similar),62.9,24.4,43.6,158215.36
2023,5106000,Nortelândia,5858,Autarquia / Servico Municipal (SANEMAT ou similar),85.3,11.7,42.9,426082.84
2023,5106109,Nossa Senhora do Livramento,13093,Autarquia / Servico Municipal (SANEMAT ou similar),62.9,5.7,46.6,115972.37
2023,5106158,Nova Bandeirantes,16052,Autarquia / Servico Municipal (SANEMAT ou similar),68.0,7.2,41.2,194077.06
2023,5106174,Nova Nazaré,4013,Autarquia / Servico Municipal (SANEMAT ou similar),54.2,0,45.7,150776.02
2023,5106182,Nova Lacerda,6861,Autarquia / Servico Municipal (SANEMAT ou similar),78.0,31.1,49.5,153774.86
2023,5106190,Nova Santa Helena,3755,Autarquia / Servico Municipal (SANEMAT ou similar),60.6,0,49.8,74915.77
2023,5106208,Nova Brasilândia,3656,Autarquia / Servico Municipal (SANEMAT ou similar),75.0,22.1,36.9,131454.85
2023,5106216,Nova Canaã do Norte,12876,Autarquia / Servico Municipal (SANEMAT ou similar),60.3,19.0,49.2,423258.35
2023,5106224,Nova Mutum,48222,Autarquia / Servico Municipal (SANEMAT ou similar),72.2,26.9,42.4,1785540.25
2023,5106232,Nova Olímpia,20820,Autarquia / Servico Municipal (SANEMAT ou similar),66.6,4.5,42.8,697073.16
2023,5106240,Nova Ubiratã,12492,Autarquia / Servico Municipal (SANEMAT ou similar),72.3,11.1,62.5,507601.64
2023,5106257,Nova Xavantina,21695,Autarquia / Servico Municipal (SANEMAT ou similar),71.2,0,35.1,415626.95
2023,5106265,Novo Mundo,9545,Autarquia / Servico Municipal (SANEMAT ou similar),87.2,15.1,68.5,202872.44
2023,5106273,Novo Horizonte do Norte,4069,Autarquia / Servico Municipal (SANEMAT ou similar),71.8,31.1,41.6,47338.7
2023,5106281,Novo São Joaquim,4837,Autarquia / Servico Municipal (SANEMAT ou similar),71.1,0,45.5,138528.73
2023,5106299,Paranaíta,11291,Autarquia / Servico Municipal (SANEMAT ou similar),67.1,21.3,39.3,259346.37
2023,5106307,Paranatinga,23250,Autarquia / Servico Municipal (SANEMAT ou similar),83.6,0,42.0,946352.62
2023,5106315,Novo Santo Antônio,2769,Autarquia / Servico Municipal (SANEMAT ou similar),77.6,11.9,62.7,128088.08
2023,5106372,Pedra Preta,17547,Autarquia / Servico Municipal (SANEMAT ou similar),77.5,0,49.2,181366.71
